mouse_lhb_region,mouse_gene,avg_log_expr,pct_expr,logFC_vs_other_lhb_regions
Hbx,Gm27151,0.23109514,0.14982553,0.18626633
Hbx,Srrm2,1.2658246,0.5487823,0.1859374
Hbx,Dzip3,0.61109227,0.3275266,0.18501478
Hbx,Nectin3,0.3387652,0.19250831,0.18486074
Hbx,Rbm39,0.8983887,0.41724908,0.18466365
Hbx,Nrp2,0.64457816,0.3153313,0.18459296
Hbx,Mdh2,0.45141083,0.2308357,0.18432644
Hbx,Ubn2,0.7945971,0.38763195,0.18432117
Hbx,Epb41l1,0.57236797,0.30923367,0.18409124
Hbx,Caly,0.6118488,0.2831009,0.18382534
Hbx,Dynll1,0.5270474,0.2499994,0.18342805
Hbx,Atxn10,0.5405345,0.2822298,0.18303192
Hbx,Romo1,0.38325697,0.19250831,0.18294324
Hbx,Ptprs,0.77198625,0.38501868,0.1827538
Hbx,Myo6,0.43504587,0.24477294,0.18253937
Hbx,Pafah1b1,0.85065365,0.40156943,0.18231386
Hbx,Ppp1r9a,0.6479309,0.33188206,0.18168929
Hbx,Mrfap1,0.53025055,0.25435486,0.18129468
Hbx,Tma7,0.43712464,0.21515632,0.18124878
Hbx,Rap1gap,0.53239906,0.2848431,0.18070433
Hbx,Ran,0.44018278,0.21428524,0.18028054
Hbx,Atp5k,0.58401257,0.26480797,0.18019548
Hbx,Gm45323,0.4183155,0.2195117,0.17981067
Hbx,Cux1,0.4680038,0.2613236,0.17978293
Hbx,Atp5b,0.7312396,0.3371086,0.17972285
Hbx,Calm3,0.6904309,0.3153313,0.17970246
Hbx,A230006K03Rik,0.98635775,0.43467093,0.17864501
Hbx,Hnrnpk,0.5868029,0.29094073,0.17856306
Hbx,Rbx1,0.42271566,0.21864063,0.1783751
Hbx,Lrch3,0.4469891,0.24303079,0.17799383
Hbx,Gm4221,0.23185873,0.12891968,0.17790042
Hbx,Actb,1.2766129,0.49042082,0.17787683
Hbx,Ndufb10,0.49620712,0.23780432,0.17721379
Hbx,Dock3,1.0127673,0.46254587,0.17709571
Hbx,Gabbr2,1.1689062,0.5087134,0.1766026
Hbx,Dad1,0.47111386,0.23257786,0.1764414
Hbx,Ndufa8,0.36234462,0.19337939,0.17631738
Hbx,Soga3,0.49209976,0.26916343,0.17588231
Hbx,Hnrnpa1,0.44970137,0.24390186,0.17564788
Hbx,Mbnl2,0.7498418,0.37369448,0.17554641
Hbx,Sh3bgrl2,0.32464695,0.19947693,0.1754645
Hbx,Eif4a2,0.6360745,0.3040071,0.17542106
Hbx,Plekha6,0.48154378,0.26655015,0.1753625
Hbx,Mllt11,0.34498715,0.17944215,0.175162
Hbx,Zfp618,0.3271894,0.18815292,0.17505983
Hbx,Hecw1,0.7671301,0.36672574,0.17494452
Hbx,Gpx4,0.6574266,0.29965165,0.17465031
Hbx,Aes,0.55520856,0.2709056,0.17446223
Hbx,Gmds,0.5324855,0.27874544,0.17358968
Hbx,Ssb,0.45328876,0.2386754,0.17305702
Hbx,Ndufv2,0.43287048,0.22822247,0.17293006
Hbx,Gm20696,0.30676958,0.17073138,0.1727967
