,,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,sign
si,160,Rps14,-7.1573,-0.582829,8.228139911327767e-13,8.331374958662437e-11,0.3747474747474748,si,0.582829,23.20840751931291,False
si,161,Ywhag,-7.1344495,-0.8815151,9.717514380164899e-13,9.778698729965936e-11,0.15791245791245792,si,0.8815151,23.048229601935983,False
si,162,Atpif1,-7.120074,-0.7157944,1.0786922996138424e-12,1.0788246544972307e-10,0.21414141414141413,si,0.7157944,22.94997876428706,False
si,163,Necab3,-7.1115265,-0.66206205,1.14766462388479e-12,1.1408066279615758e-10,0.2764309764309764,si,0.66206205,22.894115349355197,False
si,164,Marcks,-7.105089,-0.8209854,1.2024466580122324e-12,1.1880172981160855e-10,0.1653198653198653,si,0.8209854,22.853565148402232,False
si,165,Rps27a,-7.102483,-0.5549336,1.2253524487816737e-12,1.2033551578336653e-10,0.48215488215488217,si,0.5549336,22.840737309724368,False
si,166,Rps15a,-7.101583,-0.63120157,1.2333579891699857e-12,1.2039641879909644e-10,0.2845117845117845,si,0.63120157,22.840231327689747,False
si,167,Gpx4,-6.993212,-0.70232743,2.686629703625733e-12,2.6069903231253985e-10,0.21212121212121213,si,0.70232743,22.0676545068773,False
si,168,Tomm7,-6.9847045,-1.0054362,2.8545654606967223e-12,2.753557759779761e-10,0.11616161616161616,si,1.0054362,22.01295712358161,False
si,169,Camk2n1,-6.9609146,-0.81776935,3.380711281371654e-12,3.241903253465924e-10,0.16161616161616163,si,0.81776935,21.84969034869287,False
si,170,Rpl28,-6.954332,-0.5800269,3.5423691370571763e-12,3.3770585773278415e-10,0.3498316498316498,si,0.5800269,21.808845842721272,False
si,171,Chchd10,-6.9348354,-0.6514467,4.066941420132453e-12,3.854609245988328e-10,0.24848484848484848,si,0.6514467,21.676581290971075,False
si,172,Trf,-6.9045887,-1.2092077,5.034908592870061e-12,4.744455484449002e-10,0.08316498316498316,si,1.2092077,21.46887426011176,False
si,173,Ran,-6.8929715,-0.86901927,5.4638779142205635e-12,5.11908837687492e-10,0.1356902356902357,si,0.86901927,21.392874558133688,False
si,174,Atp6v1e1,-6.8903785,-0.74482054,5.564422029259168e-12,5.183497595484741e-10,0.18417508417508419,si,0.74482054,21.38037089003824,False
si,175,Ddx5,-6.8626323,-0.5252841,6.760311762900823e-12,6.261738770386888e-10,0.42457912457912456,si,0.5252841,21.19139302454855,False
si,176,Ywhab,-6.8557386,-0.6982659,7.094494957937046e-12,6.534150101937273e-10,0.2047138047138047,si,0.6982659,21.14880864458325,False
si,177,Rps12,-6.848402,-0.5398606,7.467949661371181e-12,6.839467156161404e-10,0.4063973063973064,si,0.5398606,21.103141102486443,False
si,178,Ndufa7,-6.8474627,-0.79215884,7.51713789124267e-12,6.846054854918325e-10,0.17003367003367004,si,0.79215884,21.102178377168343,False
si,179,Arglu1,-6.840139,-0.80449486,7.911638439076037e-12,7.165307212989865e-10,0.18013468013468015,si,0.80449486,21.05659999267932,False
si,180,Rpl36a,-6.8137493,-0.6742945,9.508746491168929e-12,8.564175983372148e-10,0.20639730639730638,si,0.6742945,20.878263010221428,False
si,181,Rpl6,-6.804831,-0.5620055,1.011677682448134e-11,9.061741527071143e-10,0.3565656565656566,si,0.5620055,20.82178960682673,False
si,182,Tmem130,-6.7951655,-0.7111133,1.0818806938395216e-11,9.63760604971141e-10,0.19393939393939394,si,0.7111133,20.760178187250446,False
si,183,Mal,-6.7917585,-1.133561,1.1077472973731387e-11,9.814400240096145e-10,0.08855218855218855,si,1.133561,20.742000210539,False
si,184,Cds2,-6.7909646,-0.6878713,1.1138609484405355e-11,9.815222260258167e-10,0.2138047138047138,si,0.6878713,20.741916457510893,False
si,185,Srrm2,-6.777019,-0.5363126,1.2268075378570948e-11,1.0752374452766861e-09,0.38047138047138046,si,0.5363126,20.650724320429884,False
si,186,Ndufb5,-6.7655473,-0.826768,1.3280605233326598e-11,1.15775629151706e-09,0.1558922558922559,si,0.826768,20.576781936320256,False
